Player ID,Year,Rnd,Player,Pos,PB,St,G,SB,College/Univ
273,1992,8,Darren Perry,DB,0,8,126,0,Penn St.
274,1992,8,Hesham Ismail,G,0,0,,0,Florida
275,1992,8,Nate Williams,DT,0,0,,0,Mississippi St.
276,1992,9,Elnardo Webster,LB,0,0,3,0,Rutgers
277,1992,10,Mike Saunders,RB,0,0,,0,Iowa
278,1992,11,Kendall Gammon,C,1,0,234,0,Pittsburg St.
279,1992,12,Cornelius Benton,QB,0,0,,0,Connecticut
280,1991,1,Huey Richardson,LB,0,0,16,0,Florida
281,1991,2,Jeff Graham,WR,0,9,160,0,Ohio St.
282,1991,3,Ernie Mills,WR,0,1,118,0,Florida
283,1991,4,Sammy Walker,DB,0,0,26,0,Texas Tech
284,1991,4,Adrian Cooper,TE,0,3,77,0,Oklahoma
285,1991,6,Leroy Thompson,RB,0,0,80,0,Penn St.
286,1991,7,Andre Jones,LB,0,0,6,0,Notre Dame
287,1991,8,Dean Dingman,G,0,0,,0,Michigan
288,1991,9,Bruce McGonnigal,TE,0,0,2,0,Virginia
289,1991,10,Ariel Solomon,C,0,0,61,0,Colorado
290,1991,11,Efrum Thomas,DB,0,0,,0,Alabama
291,1991,12,Jeff Brady,LB,0,3,115,0,Kentucky
292,1990,1,Eric Green,TE,2,6,120,0,Liberty
293,1990,2,Kenny Davidson,DE,0,4,93,0,LSU
294,1990,3,Neil O'Donnell,QB,1,7,125,0,Maryland
295,1990,3,Craig Veasey,DT,0,0,69,0,Houston
296,1990,4,Chris Calloway,WR,0,6,158,0,Michigan
297,1990,5,Barry Foster,RB,2,4,62,0,Arkansas
298,1990,6,Ronald Heard,WR,0,0,,0,Bowling Green
299,1990,7,Dan Grayson,LB,0,0,,0,Washington St.
300,1990,8,Karl Dunbar,DE,0,0,21,0,LSU
301,1990,9,Gary Jones,DB,0,1,78,0,Texas A&M
302,1990,10,Eddie Miles,LB,0,0,1,0,Minnesota
303,1990,11,Justin Strzelczyk,T,0,3,133,0,Maine
304,1990,12,Richard Bell,RB,0,0,16,0,Nebraska
305,1989,1,Tim Worley,RB,0,2,48,0,Georgia
306,1989,1,Tom Ricketts,G,0,1,53,0,Pittsburgh
307,1989,2,Carnell Lake,DB,5,11,185,0,UCLA
308,1989,3,Derek Hill,WR,0,2,32,0,Arizona
309,1989,4,Jerrol Williams,LB,0,1,85,0,Purdue
310,1989,5,David Arnold,DB,0,0,15,0,Michigan
311,1989,6,Mark Stock,WR,0,0,25,0,VMI
312,1989,7,D.J. Johnson,DB,0,6,117,0,Kentucky
313,1989,8,Chris Asbeck,DT,0,0,,0,Cincinnati
314,1989,9,A.J. Jenkins,LB,0,0,21,0,Cal State-Fullerton
315,1989,10,Jerry Olsavsky,LB,0,1,117,0,Pittsburgh
316,1989,11,Brian Slater,WR,0,0,,0,Washington
317,1989,12,Carlton Haselrig,G,1,3,68,0,Pittsburgh-Johnstown
318,1988,1,Aaron Jones,DE,0,2,112,0,Eastern Kentucky
319,1988,2,Dermontti Dawson HOF,C,7,11,184,0,Kentucky
320,1988,3,Chuck Lanza,C,0,0,27,0,Notre Dame
321,1988,5,Darin Jordan,LB,0,0,59,0,Northeastern
322,1988,5,Jerry Reese,DE,0,0,15,0,Kentucky
323,1988,6,Warren Williams,RB,0,1,71,0,Miami (FL)
324,1988,7,Marc Zeno,WR,0,0,,0,Tulane
325,1988,8,Mark Nichols,DT,0,0,,0,Michigan St.
326,1988,8,Mike Hinnant,TE,0,0,36,0,Temple
327,1988,9,Gordie Lockbaum,RB,0,0,,0,Holy Cross
328,1988,10,John Jackson,T,0,11,203,0,Eastern Kentucky
329,1988,11,Bobby Dawson,DB,0,0,,0,Illinois
330,1988,12,James Earle,LB,0,0,,0,Clemson
331,1987,1,Rod Woodson HOF,DB,11,15,238,0,Purdue
332,1987,2,Delton Hall,DB,0,1,76,0,Clemson
333,1987,3,Charles Lockett,WR,0,0,27,0,Long Beach St.
334,1987,4,Thomas Everett,DB,1,9,128,0,Baylor
335,1987,5,Hardy Nickerson,LB,5,14,225,0,California
336,1987,6,Tim Johnson,DT,0,7,146,0,Penn St.
337,1987,6,Greg Lloyd,LB,5,9,147,0,Fort Valley St.
338,1987,7,Chris Kelley,TE,0,0,2,0,Akron
339,1987,8,Charles Buchanan,DE,0,0,9,0,Tennessee St.
340,1987,9,Joey Clinkscales,WR,0,0,14,0,Tennessee
341,1987,10,Merril Hoge,RB,0,6,114,0,Idaho St.
342,1987,11,Paul Oswald,C,0,0,6,0,Kansas
343,1987,12,Theo Young,TE,0,0,12,0,Arkansas
344,1986,1,John Rienstra,G,0,2,65,0,Temple
345,1986,2,Gerald Williams,NT,0,8,161,0,Auburn
346,1986,3,Bubby Brister,QB,0,4,99,0,La-Monroe
347,1986,4,Bill Callahan,DB,0,0,1,0,Pittsburgh
348,1986,5,Erroll Tucker,DB,0,0,18,0,Utah
349,1986,5,Brent Jones,TE,4,9,143,0,Santa Clara
350,1986,6,Domingo Bryant,DB,0,0,27,0,Texas A&M
351,1986,7,Rodney Carter,RB,0,0,40,0,Purdue
352,1986,8,Cap Boso,TE,0,0,55,0,Illinois
353,1986,9,Anthony Henton,LB,0,0,32,0,Troy
354,1986,10,Warren Seitz,TE,0,0,18,0,Missouri
355,1986,11,Larry Station,LB,0,0,6,0,Iowa
356,1986,12,Mike Williams,LB,0,0,,0,Tulsa
357,1985,1,Darryl Sims,DE,0,0,58,0,Wisconsin
358,1985,2,Mark Behning,T,0,0,16,0,Nebraska
359,1985,3,Liffort Hobley,DB,0,1,84,0,LSU
360,1985,4,Dan Turk,C,0,2,218,0,Wisconsin
361,1985,5,Cam Jacobs,LB,0,0,3,0,Kentucky
362,1985,6,Gregg Carr,LB,0,0,57,0,Auburn
363,1985,7,Alan Andrews,TE,0,0,,0,Rutgers
364,1985,8,Harry Newsome,P,0,0,140,0,Wake Forest
365,1985,9,Fred Small,LB,0,0,16,0,Washington
366,1985,9,Andre Harris,DB,0,0,,0,Minnesota
367,1985,10,Oliver White,TE,0,0,,0,Kentucky
368,1985,11,Terry Matichak,DB,0,0,,0,Missouri
369,1985,12,Jeff Sanchez,DB,0,0,,0,Georgia
370,1984,1,Louis Lipps,WR,2,7,110,0,Southern Miss
371,1984,2,Chris Kolodziejski,TE,0,0,7,0,Wyoming
372,1984,4,Weegie Thompson,WR,0,1,92,0,Florida St.
373,1984,4,Terry Long,G,0,6,105,0,East Carolina
